steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.1,100,1.1
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.2,100,1.1
1400,14,14.2,100,1.0
1700,17,17.2,100,1.0
2000,20,20.2,100,1.0
2500,25,25.2,100,1.0
3000,30,30.2,100,1.0
4000,40,40.2,100,1.0
5000,50,50.400000000000006,100,1.0
6000,60,60.60000000000001,100,1.0
7000,70,70.60000000000001,100,1.0
8000,80,80.7,100,1.0
9000,90,90.7,100,1.0
10000,100,100.7,100,1.0
12000,120,120.7,100,1.0
14000,140,140.7,100,1.0
17000,170,170.7,100,1.0
20000,200,200.7,100,1.0
25000,250,250.79999999999998,100,1.0
30000,300,301.0,100,1.0
40000,400,401.1,100,1.0
50000,500,501.20000000000005,100,1.0
60000,600,601.2,100,1.0
70000,700,701.3000000000001,100,1.0
80000,800,801.4000000000001,100,1.0
90000,900,901.8000000000002,100,1.0
100000,1000,1002.0000000000002,100,1.0
