steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.1,100,1.1
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.1,100,1.0
1400,14,14.1,100,1.0
1700,17,17.1,100,1.0
2000,20,20.1,100,1.0
2500,25,25.1,100,1.0
3000,30,30.1,100,1.0
4000,40,40.1,100,1.0
5000,50,50.1,100,1.0
6000,60,60.1,100,1.0
7000,70,70.1,100,1.0
8000,80,80.1,100,1.0
9000,90,90.1,100,1.0
10000,100,100.1,100,1.0
12000,120,120.1,100,1.0
14000,140,140.1,100,1.0
17000,170,170.1,100,1.0
20000,200,200.1,100,1.0
25000,250,250.1,100,1.0
30000,300,300.1,100,1.0
40000,400,400.1,100,1.0
50000,500,500.1,100,1.0
60000,600,600.1,100,1.0
70000,700,700.1,100,1.0
80000,800,800.1,100,1.0
90000,900,900.1,100,1.0
100000,1000,1000.1,100,1.0
